EmployeeID,Name,Department,Role,HireDate,,MetricID,EmployeeID,ProjectCompletionRate,TotalTasksCompleted,AverageTrainingHours,EmployeeSatisfactionScore,PerformanceReviewDate,,TrainingID,EmployeeID,TrainingProgram,TrainingHours,CompletionDate,,FeedbackID,EmployeeID,FeedbackDate,FeedbackType,Comments
1,Alice Johnson,Engineering,Software Engineer,15-01-2020,,1,1,85,45,20,4.5,01-12-2023,,1,1,Agile Methodologies,10,15-06-2023,,1,1,01-12-2023,Positive,Excellent problem-solving skills.
2,Bob Smith,Marketing,Marketing Manager,20-03-2019,,2,2,90,50,15,4.7,01-12-2023,,2,2,Digital Marketing,8,20-06-2023,,2,2,01-12-2023,Positive,Great leadership and teamwork.
3,Carol Williams,HR,HR Specialist,30-05-2021,,3,3,80,30,10,4.2,01-12-2023,,3,3,Employee Relations,6,10-06-2023,,3,3,01-12-2023,Neutral,Needs improvement in time management.
4,David Brown,Engineering,DevOps Engineer,22-07-2018,,4,4,88,40,25,4.6,01-12-2023,,4,4,Cloud Computing,12,25-06-2023,,4,4,01-12-2023,Positive,Very proactive and reliable.
5,Eva Green,Sales,Sales Executive,10-11-2022,,5,5,75,35,18,4.1,01-12-2023,,5,5,Sales Techniques,5,30-06-2023,,5,5,01-12-2023,Negative,Needs more engagement with clients.
6,Frank Miller,Engineering,Data Scientist,15-09-2020,,6,6,92,55,30,4.9,01-12-2023,,6,6,Data Analysis,15,05-06-2023,,6,6,01-12-2023,Positive,Exceptional analytical skills.
7,Grace Davis,HR,Talent Acquisition,28-02-2021,,7,7,78,28,12,3.8,01-12-2023,,7,7,Recruitment Strategies,8,12-06-2023,,7,7,01-12-2023,Neutral,"Good work ethic, but could improve communication."
8,Henry Wilson,Marketing,Digital Marketer,12-12-2018,,8,8,85,47,22,4.4,01-12-2023,,8,8,Content Marketing,7,18-06-2023,,8,8,01-12-2023,Positive,Creative approach to marketing challenges.
9,Irene Martinez,Sales,Account Manager,05-08-2019,,9,9,77,33,20,4,01-12-2023,,9,9,Negotiation Skills,6,28-06-2023,,9,9,01-12-2023,Negative,Needs to work on conflict resolution skills.
10,John Taylor,Engineering,Project Manager,17-04-2020,,10,10,89,48,28,4.5,01-12-2023,,10,10,Project Management Basics,10,15-06-2023,,10,10,01-12-2023,Positive,Strong project management capabilities.
